CustomerID,Name,CustomerAge,CustomerGender,FullAddress,City,PhoneNumber,EmailID,DOB
U001,Teresa Coleman,90,Female,"589 Julie Cape, Toddberg, AK 15511",Philadelphia,6805671430,stacy06@example.com,16-05-1961
U002,April Thompson,27,Male,"819 Davila Gardens, Ingrammouth, OH 73440",New York City,9035430519,wsoto@example.org,25-12-1963
U003,Brittany Patel,55,Male,"219 Powell Throughway, Lake Maurice, MA 14763",Chicago,5533860370,oliverelizabeth@example.net,19-07-1934
U004,Ricky Christensen,77,Male,"745 Courtney Cliffs Suite 325, New Edward, MI 67479",San Antonio,3968078573,rbarrera@example.com,17-10-1944
U005,Dennis Kelly,47,Female,"982 Joseph Port Suite 433, Mariabury, AS 46495",Houston,2506634825,mthomas@example.net,30-06-1974
U006,Molly Jackson,26,Female,"390 Kevin Divide Apt. 903, Larryburgh, MH 45179",Chicago,818216378,blankenshipmichael@example.net,10-04-1937
U007,William Gay,30,Male,"4680 Shannon Greens Apt. 332, Lake Jennifer, CT 45451",Philadelphia,3430872159,courtneybutler@example.org,08-05-1938
U008,Christopher Ferguson,89,Male,"72346 Price Ferry, Williamsmouth, PR 23941",San Diego,554438424,monique19@example.net,18-10-1981
U009,Elizabeth Roberts,72,Male,"95181 David Glens, Pottsport, AZ 06083",New York City,4626303626,williammiles@example.net,21-01-1967
U010,Elizabeth Woodward,49,Male,"467 Casey Point, New Jennifer, FL 15689",San Antonio,2384775301,iwoods@example.net,23-02-1937
U011,Mark Anderson,34,Female,"987 Jacqueline Courts, East Sharonview, LA 89663",Philadelphia,8503778418,amy47@example.net,22-02-1956
U012,Latoya Banks,52,Female,"485 Jesse Plaza, Ashleyside, MD 84664",Houston,8929633589,valentinematthew@example.com,13-11-1941
U013,Jesus Atkinson,72,Male,"737 Kristina Village Suite 751, Russellberg, ND 45110",Houston,8517937578,ejones@example.com,01-09-1971
U014,Chad Robinson,73,Male,"2285 Jeremy Ville Suite 355, Lake Janetborough, ME 75864",Chicago,8929752909,matthew15@example.com,06-03-1949
U015,Christopher Owens,27,Male,"573 Whitaker Neck Suite 679, Smithport, MO 60768",Phoenix,6699705537,bdixon@example.com,18-12-1970
U016,Jonathan Sanchez,89,Male,"78325 Sharon Club, North Kathryn, MT 95318",New York City,1426055801,annakirk@example.net,16-08-1988
